[2018-07-22T22:02:34-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_WORLD_UNLOADED; game type NONE (11)
[2018-07-22T22:04:14-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-07-22T22:10:22-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-07-22T22:18:15-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-07-22T22:18:28-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-07-22T22:21:50-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-07-22T22:21:50-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_WORLD_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-07-22T22:21:51-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-07-23T07:46:09-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_WORLD_LOADED; game type ADVENTURE_MAIN (1)
[2018-07-23T07:55:57-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-07-23T08:06:06-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
[2018-07-23T08:07:12-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_MAP_LOADED; game type ADVENTURE_MAIN (1)
[2018-07-23T08:07:26-0400] DFHack 0.44.05-r2-0-g0e7ab278 on Windows; cwd md5: 78fb93c467; save: region4; SC_MAP_UNLOADED; game type ADVENTURE_MAIN (1)
